Date,Year,Month,USD
1985-01-01,1985,January,306.25
1985-01-02,1985,January,299.5
1985-01-03,1985,January,303.45
1985-01-04,1985,January,296.75
1985-01-05,1985,January,304.4
1985-01-06,1985,January,298.35
1985-01-07,1985,January,304
1985-01-08,1985,January,304
1985-01-09,1985,January,301.25
1985-01-10,1985,January,302.5
1985-01-11,1985,January,302.45
1985-01-12,1985,January,305.8
1985-01-13,1985,January,306.9
1985-01-14,1985,January,307
1985-01-15,1985,January,306.85
1985-01-16,1985,January,302.15
1985-01-17,1985,January,301.9
1985-01-18,1985,January,299.25
1985-01-19,1985,January,298.6
1985-01-20,1985,January,303.5
1985-01-21,1985,January,303
1985-01-22,1985,January,304.9
1985-01-23,1985,January,304.8
1985-01-24,1985,January,301.25
1985-01-25,1985,January,301.75
1985-01-26,1985,January,303.45
1985-01-27,1985,January,302.5
1985-01-28,1985,January,300.6
1985-01-29,1985,January,300
1985-01-30,1985,January,303.45
1985-01-31,1985,January,302.8
1985-02-01,1985,February,303.4
1985-02-02,1985,February,304.9
1985-02-03,1985,February,304.95
1985-02-04,1985,February,302.9
1985-02-05,1985,February,302.85
1985-02-06,1985,February,302
1985-02-07,1985,February,298.8
1985-02-08,1985,February,290
1985-02-09,1985,February,285
1985-02-10,1985,February,290.75
1985-02-11,1985,February,290.5
1985-02-12,1985,February,288.1
1985-02-13,1985,February,288.3
1985-02-14,1985,February,288.85
1985-02-15,1985,February,286.7
1985-02-16,1985,February,289.3
1985-02-17,1985,February,289
1985-02-18,1985,February,290.25
1985-02-19,1985,February,288.75
1985-02-20,1985,February,290.1
1985-02-21,1985,February,290.25
1985-02-22,1985,February,289.9
1985-02-23,1985,February,293.7
1985-02-24,1985,February,307.25
1985-02-25,1985,February,333.25
1985-02-26,1985,February,312.5
1985-02-27,1985,February,320.75
1985-02-28,1985,February,315.9
1985-03-01,1985,March,316
1985-03-02,1985,March,329.9
1985-03-03,1985,March,328.75
1985-03-04,1985,March,329.8
1985-03-05,1985,March,324.65
1985-03-06,1985,March,317
1985-03-07,1985,March,321.1
1985-03-08,1985,March,317
1985-03-09,1985,March,NA
1985-03-10,1985,March,NA
1985-03-11,1985,March,323.1
1985-03-12,1985,March,323.3
1985-03-13,1985,March,329
1985-03-14,1985,March,331.25
1985-03-15,1985,March,330.3
1985-03-16,1985,March,331.5
1985-03-17,1985,March,327
1985-03-18,1985,March,325.5
1985-03-19,1985,March,327.7
1985-03-20,1985,March,328.1
1985-03-21,1985,March,326
1985-03-22,1985,March,322.6
1985-03-23,1985,March,322.4
1985-03-24,1985,March,322.5
1985-03-25,1985,March,323
1985-03-26,1985,March,324.65
1985-03-27,1985,March,315.6
1985-03-28,1985,March,314.25
1985-03-29,1985,March,313.7
1985-03-30,1985,March,NA
1985-03-31,1985,March,311.25
1985-04-01,1985,April,313.35
1985-04-02,1985,April,314.5
1985-04-03,1985,April,313.55
1985-04-04,1985,April,316.75
1985-04-05,1985,April,324.75
1985-04-06,1985,April,322.85
1985-04-07,1985,April,320.4
1985-04-08,1985,April,319.8
1985-04-09,1985,April,323.65
1985-04-10,1985,April,316.5
1985-04-11,1985,April,317.4
1985-04-12,1985,April,316.4
1985-04-13,1985,April,316.35
1985-04-14,1985,April,NA
1985-04-15,1985,April,313.9
1985-04-16,1985,April,311.2
1985-04-17,1985,April,315
1985-04-18,1985,April,313.15
1985-04-19,1985,April,316.85
1985-04-20,1985,April,316.25
1985-04-21,1985,April,314.75
1985-04-22,1985,April,314.9
1985-04-23,1985,April,315
1985-04-24,1985,April,310.75
1985-04-25,1985,April,313.25
1985-04-26,1985,April,313.75
1985-04-27,1985,April,314.1
1985-04-28,1985,April,315.75
1985-04-29,1985,April,317.25
1985-04-30,1985,April,321.65
1985-05-01,1985,May,325.2
1985-05-02,1985,May,322
1985-05-03,1985,May,315.25
1985-05-04,1985,May,314.1
1985-05-05,1985,May,315.9
1985-05-06,1985,May,316.5
1985-05-07,1985,May,316.25
1985-05-08,1985,May,316.5
1985-05-09,1985,May,313.35
1985-05-10,1985,May,310.85
1985-05-11,1985,May,310.4
1985-05-12,1985,May,310.7
1985-05-13,1985,May,310.9
1985-05-14,1985,May,312.2
1985-05-15,1985,May,314.8
1985-05-16,1985,May,314.7
1985-05-17,1985,May,313.8
1985-05-18,1985,May,315.05
1985-05-19,1985,May,317.15
1985-05-20,1985,May,316.8
1985-05-21,1985,May,321.7
1985-05-22,1985,May,322.25
1985-05-23,1985,May,319
1985-05-24,1985,May,317.4
1985-05-25,1985,May,322.75
1985-05-26,1985,May,318.5
1985-05-27,1985,May,319.4
1985-05-28,1985,May,317.6
1985-05-29,1985,May,323
1985-05-30,1985,May,323.25
1985-05-31,1985,May,328.1
1985-06-01,1985,June,326.75
1985-06-02,1985,June,319.65
1985-06-03,1985,June,323
1985-06-04,1985,June,321.4
1985-06-05,1985,June,320.65
1985-06-06,1985,June,322.9
1985-06-07,1985,June,322.4
1985-06-08,1985,June,326.6
1985-06-09,1985,June,328.5
1985-06-10,1985,June,326.2
1985-06-11,1985,June,328.9
1985-06-12,1985,June,335.4
1985-06-13,1985,June,339.25
1985-06-14,1985,June,335.5
1985-06-15,1985,June,335.75
1985-06-16,1985,June,337.6
1985-06-17,1985,June,333.6
1985-06-18,1985,June,NA
1985-06-19,1985,June,335.25
1985-06-20,1985,June,339.3
1985-06-21,1985,June,338.4
1985-06-22,1985,June,335.75
1985-06-23,1985,June,335.45
1985-06-24,1985,June,332.7
1985-06-25,1985,June,325
1985-06-26,1985,June,326
1985-06-27,1985,June,318.75
1985-06-28,1985,June,320.2
1985-06-29,1985,June,320
1985-06-30,1985,June,322
1985-07-01,1985,July,318
1985-07-02,1985,July,321.75
1985-07-03,1985,July,318.85
1985-07-04,1985,July,318.7
1985-07-05,1985,July,315.5
1985-07-06,1985,July,315.9
1985-07-07,1985,July,319.2
1985-07-08,1985,July,328.1
1985-07-09,1985,July,328.4
1985-07-10,1985,July,328.7
1985-07-11,1985,July,330.4
1985-07-12,1985,July,328.95
1985-07-13,1985,July,326.5
1985-07-14,1985,July,323.15
1985-07-15,1985,July,324.75
1985-07-16,1985,July,324.35
1985-07-17,1985,July,330.55
1985-07-18,1985,July,326.25
1985-07-19,1985,July,326.1
1985-07-20,1985,July,326.95
1985-07-21,1985,July,325.55
1985-07-22,1985,July,325.8
1985-07-23,1985,July,326.6
1985-07-24,1985,July,326.85
1985-07-25,1985,July,325.9
1985-07-26,1985,July,324.6
1985-07-27,1985,July,326.25
1985-07-28,1985,July,326.5
1985-07-29,1985,July,325.9
1985-07-30,1985,July,326.9
1985-07-31,1985,July,325.95
1985-08-01,1985,August,325.65
1985-08-02,1985,August,326.5
1985-08-03,1985,August,326.55
1985-08-04,1985,August,326.8
1985-08-05,1985,August,325.75
1985-08-06,1985,August,324.65
1985-08-07,1985,August,325.6
1985-08-08,1985,August,324.55
1985-08-09,1985,August,324.75
1985-08-10,1985,August,323.6
1985-08-11,1985,August,322.1
1985-08-12,1985,August,323.25
1985-08-13,1985,August,322.7
1985-08-14,1985,August,324.5
1985-08-15,1985,August,325
1985-08-16,1985,August,324.55
1985-08-17,1985,August,323.75
1985-08-18,1985,August,324.1
1985-08-19,1985,August,325.05
1985-08-20,1985,August,325.75
1985-08-21,1985,August,326
1985-08-22,1985,August,330.5
1985-08-23,1985,August,331.5
1985-08-24,1985,August,330.45
1985-08-25,1985,August,326.75
1985-08-26,1985,August,327.4
1985-08-27,1985,August,323.95
1985-08-28,1985,August,322.5
1985-08-29,1985,August,324.5
1985-08-30,1985,August,322.5
1985-08-31,1985,August,322.5
1985-09-01,1985,September,320.15
1985-09-02,1985,September,316.1
1985-09-03,1985,September,316.8
1985-09-04,1985,September,316.05
1985-09-05,1985,September,317.9
1985-09-06,1985,September,318.25
1985-09-07,1985,September,321.9
1985-09-08,1985,September,321.1
1985-09-09,1985,September,323.4
1985-09-10,1985,September,323.55
1985-09-11,1985,September,325.75
1985-09-12,1985,September,324.85
1985-09-13,1985,September,NA
1985-09-14,1985,September,NA
1985-09-15,1985,September,324.8
1985-09-16,1985,September,326.15
1985-09-17,1985,September,327
1985-09-18,1985,September,NA
1985-09-19,1985,September,327.1
1985-09-20,1985,September,326
1985-09-21,1985,September,327.8
1985-09-22,1985,September,328.9
1985-09-23,1985,September,330.9
1985-09-24,1985,September,333.9
1985-09-25,1985,September,339.45
1985-09-26,1985,September,340.75
1985-09-27,1985,September,338.8
1985-09-28,1985,September,345.3
1985-09-29,1985,September,359.6
1985-09-30,1985,September,357.25
1985-10-01,1985,October,353.25
1985-10-02,1985,October,356.5
1985-10-03,1985,October,352.75
1985-10-04,1985,October,349.5
1985-10-05,1985,October,355.25
1985-10-06,1985,October,361.75
1985-10-07,1985,October,353.8
1985-10-08,1985,October,354.4
1985-10-09,1985,October,355.4
1985-10-10,1985,October,354
1985-10-11,1985,October,347.35
1985-10-12,1985,October,338.5
1985-10-13,1985,October,335.95
1985-10-14,1985,October,337.1
1985-10-15,1985,October,337.9
1985-10-16,1985,October,340.5
1985-10-17,1985,October,337.2
1985-10-18,1985,October,338.35
1985-10-19,1985,October,335.4
1985-10-20,1985,October,329.5
1985-10-21,1985,October,333
1985-10-22,1985,October,332.4
1985-10-23,1985,October,343.7
1985-10-24,1985,October,339.25
1985-10-25,1985,October,339
1985-10-26,1985,October,343.35
1985-10-27,1985,October,351.4
1985-10-28,1985,October,345.1
1985-10-29,1985,October,337.85
1985-10-30,1985,October,338.25
1985-10-31,1985,October,339.45
1985-11-01,1985,November,337.9
1985-11-02,1985,November,342.2
1985-11-03,1985,November,343
1985-11-04,1985,November,342
1985-11-05,1985,November,341.8
1985-11-06,1985,November,341.65
1985-11-07,1985,November,344.5
1985-11-08,1985,November,349.8
1985-11-09,1985,November,347.6
1985-11-10,1985,November,348.2
1985-11-11,1985,November,350.8
1985-11-12,1985,November,349.25
1985-11-13,1985,November,350.6
1985-11-14,1985,November,351.35
1985-11-15,1985,November,352.4
1985-11-16,1985,November,352.9
1985-11-17,1985,November,344.9
1985-11-18,1985,November,345.5
1985-11-19,1985,November,NA
1985-11-20,1985,November,NA
1985-11-21,1985,November,333.7
1985-11-22,1985,November,335.5
1985-11-23,1985,November,336.6
1985-11-24,1985,November,335.6
1985-11-25,1985,November,336.5
1985-11-26,1985,November,340.65
1985-11-27,1985,November,338.65
1985-11-28,1985,November,338.15
1985-11-29,1985,November,340.25
1985-11-30,1985,November,343.2
1985-12-01,1985,December,340.25
1985-12-02,1985,December,340.75
1985-12-03,1985,December,339.3
1985-12-04,1985,December,341
1985-12-05,1985,December,342.45
1985-12-06,1985,December,344.15
1985-12-07,1985,December,347.25
1985-12-08,1985,December,346
1985-12-09,1985,December,344.3
1985-12-10,1985,December,344.4
1985-12-11,1985,December,342.35
1985-12-12,1985,December,344.75
1985-12-13,1985,December,345.6
1985-12-14,1985,December,341.6
1985-12-15,1985,December,NA
1985-12-16,1985,December,341.55
1985-12-17,1985,December,342.15
1985-12-18,1985,December,344.6
1985-12-19,1985,December,344.25
1985-12-20,1985,December,344.9
1985-12-21,1985,December,343.8
1985-12-22,1985,December,342.75
1985-12-23,1985,December,342.5
1985-12-24,1985,December,342.75
1985-12-25,1985,December,342.05
1985-12-26,1985,December,340.3
1985-12-27,1985,December,338.6
1985-12-28,1985,December,339.4
1985-12-29,1985,December,340.85
1985-12-30,1985,December,NA
1985-12-31,1985,December,341.15
1986-01-01,1986,January,341.6
1986-01-02,1986,January,342.75
1986-01-03,1986,January,343.35
1986-01-04,1986,January,343
1986-01-05,1986,January,341.85
1986-01-06,1986,January,341.4
1986-01-07,1986,January,341.5
1986-01-08,1986,January,341.5
1986-01-09,1986,January,341.85
1986-01-10,1986,January,347.55
1986-01-11,1986,January,347.5
1986-01-12,1986,January,347.95
1986-01-13,1986,January,347.4
1986-01-14,1986,January,346.5
1986-01-15,1986,January,337.3
1986-01-16,1986,January,338.5
1986-01-17,1986,January,338.7
1986-01-18,1986,January,338.9
1986-01-19,1986,January,340.5
1986-01-20,1986,January,340.75
1986-01-21,1986,January,343.25
1986-01-22,1986,January,343.8
1986-01-23,1986,January,343.55
1986-01-24,1986,January,345.5
1986-01-25,1986,January,345.65
1986-01-26,1986,January,344
1986-01-27,1986,January,343.5
1986-01-28,1986,January,343.8
1986-01-29,1986,January,344.45
1986-01-30,1986,January,346.5
1986-01-31,1986,January,350.35
1986-02-01,1986,February,347.5
1986-02-02,1986,February,347.65
1986-02-03,1986,February,346.2
1986-02-04,1986,February,345.85
1986-02-05,1986,February,348.35
1986-02-06,1986,February,346.9
1986-02-07,1986,February,347.1
1986-02-08,1986,February,353
1986-02-09,1986,February,353.5
1986-02-10,1986,February,351.75
1986-02-11,1986,February,348.5
1986-02-12,1986,February,349
1986-02-13,1986,February,350.8
1986-02-14,1986,February,353.3
1986-02-15,1986,February,351.35
1986-02-16,1986,February,375.75
1986-02-17,1986,February,360.5
1986-02-18,1986,February,358.75
1986-02-19,1986,February,358.5
1986-02-20,1986,February,360.85
1986-02-21,1986,February,360.85
1986-02-22,1986,February,361.85
1986-02-23,1986,February,394.5
1986-02-24,1986,February,386.1
1986-02-25,1986,February,391.25
1986-02-26,1986,February,384
1986-02-27,1986,February,386.4
1986-02-28,1986,February,377.25
1986-03-01,1986,March,372.5
1986-03-02,1986,March,379
1986-03-03,1986,March,381.75
1986-03-04,1986,March,384.65
1986-03-05,1986,March,NA
1986-03-06,1986,March,397.3
1986-03-07,1986,March,377.8
1986-03-08,1986,March,384
1986-03-09,1986,March,386
1986-03-10,1986,March,392
1986-03-11,1986,March,395.5
1986-03-12,1986,March,407.2
1986-03-13,1986,March,404
1986-03-14,1986,March,418.25
1986-03-15,1986,March,419
1986-03-16,1986,March,412.5
1986-03-17,1986,March,414.5
1986-03-18,1986,March,407
1986-03-19,1986,March,418.75
1986-03-20,1986,March,416
1986-03-21,1986,March,413.55
1986-03-22,1986,March,413.6
1986-03-23,1986,March,415.7
1986-03-24,1986,March,423
1986-03-25,1986,March,442.75
1986-03-26,1986,March,435.15
1986-03-27,1986,March,434
1986-03-28,1986,March,432.25
1986-03-29,1986,March,434
1986-03-30,1986,March,429.45
1986-03-31,1986,March,421.2
1986-04-01,1986,April,425.5
1986-04-02,1986,April,425.5
1986-04-03,1986,April,436.9
1986-04-04,1986,April,436.5
1986-04-05,1986,April,442
1986-04-06,1986,April,439.4
1986-04-07,1986,April,435.8
1986-04-08,1986,April,428.15
1986-04-09,1986,April,431.4
1986-04-10,1986,April,431.25
1986-04-11,1986,April,426.25
1986-04-12,1986,April,426
1986-04-13,1986,April,420
1986-04-14,1986,April,420
1986-04-15,1986,April,426.8
1986-04-16,1986,April,426.6
1986-04-17,1986,April,425.4
1986-04-18,1986,April,413
1986-04-19,1986,April,409.6
1986-04-20,1986,April,409.55
1986-04-21,1986,April,407.75
1986-04-22,1986,April,404
1986-04-23,1986,April,401.5
1986-04-24,1986,April,400.3
1986-04-25,1986,April,408.5
1986-04-26,1986,April,410.25
1986-04-27,1986,April,405
1986-04-28,1986,April,408.3
1986-04-29,1986,April,409.9
1986-04-30,1986,April,407.4
1986-05-01,1986,May,407.45
1986-05-02,1986,May,406.85
1986-05-03,1986,May,409
1986-05-04,1986,May,393.25
1986-05-05,1986,May,388
1986-05-06,1986,May,391.5
1986-05-07,1986,May,387
1986-05-08,1986,May,389.5
1986-05-09,1986,May,380.4
1986-05-10,1986,May,380.75
1986-05-11,1986,May,384
1986-05-12,1986,May,382.3
1986-05-13,1986,May,390
1986-05-14,1986,May,399.6
1986-05-15,1986,May,394.3
1986-05-16,1986,May,385.25
1986-05-17,1986,May,391.2
1986-05-18,1986,May,388.6
1986-05-19,1986,May,390.5
1986-05-20,1986,May,389.2
1986-05-21,1986,May,387.25
1986-05-22,1986,May,388.75
1986-05-23,1986,May,389.7
1986-05-24,1986,May,394.6
1986-05-25,1986,May,393.7
1986-05-26,1986,May,393.4
1986-05-27,1986,May,392.5
1986-05-28,1986,May,394.15
1986-05-29,1986,May,395.35
1986-05-30,1986,May,392.75
1986-05-31,1986,May,391
1986-06-01,1986,June,NA
1986-06-02,1986,June,NA
1986-06-03,1986,June,391.4
1986-06-04,1986,June,389.4
1986-06-05,1986,June,390.9
1986-06-06,1986,June,NA
1986-06-07,1986,June,402.4
1986-06-08,1986,June,399
1986-06-09,1986,June,401.7
1986-06-10,1986,June,399.5
1986-06-11,1986,June,401.6
1986-06-12,1986,June,402.25
1986-06-13,1986,June,409.9
1986-06-14,1986,June,408.6
1986-06-15,1986,June,414.4
1986-06-16,1986,June,415
1986-06-17,1986,June,414.5
1986-06-18,1986,June,421.25
1986-06-19,1986,June,417.4
1986-06-20,1986,June,408.5
1986-06-21,1986,June,410.6
1986-06-22,1986,June,403.55
1986-06-23,1986,June,403.35
1986-06-24,1986,June,408.7
1986-06-25,1986,June,416.5
1986-06-26,1986,June,411
1986-06-27,1986,June,407.3
1986-06-28,1986,June,406.45
1986-06-29,1986,June,402
1986-06-30,1986,June,401.75
1986-07-01,1986,July,402.6
1986-07-02,1986,July,402.7
1986-07-03,1986,July,402.95
1986-07-04,1986,July,404.4
1986-07-05,1986,July,402.9
1986-07-06,1986,July,402
1986-07-07,1986,July,395.55
1986-07-08,1986,July,397.2
1986-07-09,1986,July,396.85
1986-07-10,1986,July,392.25
1986-07-11,1986,July,392.6
1986-07-12,1986,July,397.5
1986-07-13,1986,July,403
1986-07-14,1986,July,401.95
