Date,Year,Month,Population,Personal Consumption Expenditures,psavert,Median Unemployment Time (Weeks),Unemployed
1991-05-01,1991,May,252913000,3933200000000,8.4,6.4,8736000
1991-06-01,1991,June,253207000,3940500000000,8.9,6.9,8692000
1991-07-01,1991,July,253493000,3966000000000,8.2,7,8586000
1991-08-01,1991,August,253807000,3969100000000,8.6,7.3,8666000
1991-09-01,1991,September,254126000,3984700000000,8.8,6.8,8722000
1991-10-01,1991,October,254435000,3976000000000,9.3,7.2,8842000
1991-11-01,1991,November,254718000,4003600000000,9,7.5,8931000
1991-12-01,1991,December,254964000,4020500000000,9.7,7.8,9198000
1992-01-01,1992,January,255214000,4084700000000,9.4,8.1,9283000
1992-02-01,1992,February,255448000,4099500000000,9.8,8.2,9454000
1992-03-01,1992,March,255703000,4117000000000,9.7,8.3,9460000
1992-04-01,1992,April,255992000,4131500000000,9.9,8.5,9415000
1992-05-01,1992,May,256285000,4158399999999.9995,9.9,8.8,9744000
1992-06-01,1992,June,256589000,4177100000000.0005,10.1,8.7,10040000
1992-07-01,1992,July,256894000,4204800000000,9.6,8.6,9850000
1992-08-01,1992,August,257232000,4220899999999.9995,9.7,8.8,9787000
1992-09-01,1992,September,257548000,4255300000000,8.7,8.6,9781000
1992-10-01,1992,October,257861000,4284700000000,8,9,9398000
1992-11-01,1992,November,258147000,4300500000000,8,9,9565000
1992-12-01,1992,December,258413000,4336399999999.9995,10.6,9.3,9557000
1993-01-01,1993,January,258679000,4340700000000,8.6,8.6,9325000
1993-02-01,1993,February,258919000,4355300000000,8.9,8.5,9183000
1993-03-01,1993,March,259152000,4352500000000,8.9,8.5,9056000
1993-04-01,1993,April,259414000,4393399999999.9995,8.7,8.4,9110000
1993-05-01,1993,May,259680000,4422400000000,8.3,8.1,9149000
1993-06-01,1993,June,259963000,4440000000000,7.8,8.3,9121000
1993-07-01,1993,July,260255000,4468900000000,7.6,8.2,8930000
1993-08-01,1993,August,260566000,4481100000000,7.7,8.2,8763000
1993-09-01,1993,September,260867000,4511500000000,6.9,8.3,8714000
1993-10-01,1993,October,261163000,4532800000000,6.3,8,8750000
1993-11-01,1993,November,261425000,4554100000000,6.3,8.3,8542000
1993-12-01,1993,December,261674000,4571100000000,9.1,8.3,8477000
1994-01-01,1994,January,261919000,4585100000000,7.1,8.6,8630000
1994-02-01,1994,February,262123000,4632600000000,6.5,9.2,8583000
1994-03-01,1994,March,262352000,4646000000000,6.8,9.3,8470000
1994-04-01,1994,April,262631000,4671100000000,6.4,9.1,8331000
1994-05-01,1994,May,262877000,4669500000000,7.6,9.2,7915000
1994-06-01,1994,June,263152000,4708900000000,6.9,9.3,7927000
1994-07-01,1994,July,263436000,4720600000000,7,9,7946000
1994-08-01,1994,August,263724000,4762600000000,6.5,8.9,7933000
1994-09-01,1994,September,264017000,4775000000000,6.8,9.2,7734000
1994-10-01,1994,October,264301000,4812900000000,7.1,10,7632000
1994-11-01,1994,November,264559000,4825600000000,7,9,7375000
1994-12-01,1994,December,264804000,4841600000000,7.2,8.7,7230000
1995-01-01,1995,January,265044000,4851200000000,7.5,8,7375000
1995-02-01,1995,February,265270000,4850800000000,7.8,8.1,7187000
1995-03-01,1995,March,265495000,4885400000000,7.5,8.3,7153000
1995-04-01,1995,April,265755000,4890200000000,6.9,8.3,7645000
1995-05-01,1995,May,265998000,4933100000000,7.1,9.1,7430000
1995-06-01,1995,June,266270000,4977500000000,6.7,7.9,7427000
1995-07-01,1995,July,266557000,4970200000000,7.1,8.5,7527000
1995-08-01,1995,August,266843000,5005300000000,6.7,8.3,7484000
1995-09-01,1995,September,267152000,5020500000000,6.8,7.9,7478000
1995-10-01,1995,October,267456000,5013900000000,7.1,8.2,7328000
1995-11-01,1995,November,267715000,5055600000000,6.6,8,7426000
1995-12-01,1995,December,267943000,5097500000000,6.1,8.3,7423000
1996-01-01,1996,January,268151000,5085700000000,6.7,8.3,7491000
1996-02-01,1996,February,268364000,5132800000000,6.7,7.8,7313000
1996-03-01,1996,March,268595000,5173300000000,6.6,8.3,7318000
1996-04-01,1996,April,268853000,5208000000000,5.7,8.6,7415000
1996-05-01,1996,May,269108000,5223800000000,6.7,8.6,7423000
1996-06-01,1996,June,269386000,5229800000000,7.1,8.3,7095000
1996-07-01,1996,July,269667000,5251900000000,6.7,8.3,7337000
1996-08-01,1996,August,269976000,5275000000000,6.6,8.4,6882000
1996-09-01,1996,September,270284000,5296600000000,6.7,8.5,6979000
1996-10-01,1996,October,270581000,5328500000000,6.4,8.3,7031000
1996-11-01,1996,November,270878000,5351200000000,6.4,7.7,7236000
1996-12-01,1996,December,271125000,5378600000000,6.4,7.8,7253000
1997-01-01,1997,January,271360000,5411100000000,6.2,7.8,7158000
1997-02-01,1997,February,271585000,5434000000000,6.2,8.1,7102000
1997-03-01,1997,March,271821000,5454200000000,6.4,7.9,7000000
1997-04-01,1997,April,272083000,5459300000000,6.5,8.3,6873000
1997-05-01,1997,May,272342000,5460200000000,6.8,8,6655000
1997-06-01,1997,June,272622000,5494200000000,6.6,8,6799000
1997-07-01,1997,July,272912000,5548800000000,6.1,8.3,6655000
1997-08-01,1997,August,273237000,5587000000000,6,7.8,6608000
1997-09-01,1997,September,273553000,5601700000000,6.2,8.2,6656000
1997-10-01,1997,October,273852000,5637700000000,6.2,7.7,6454000
1997-11-01,1997,November,274126000,5661100000000,6.4,7.6,6308000
1997-12-01,1997,December,274372000,5692100000000,6.4,7.5,6476000
1998-01-01,1998,January,274626000,5689900000000,7.4,7.4,6368000
1998-02-01,1998,February,274838000,5723800000000,7.4,7,6306000
1998-03-01,1998,March,275047000,5750300000000,7.5,6.8,6422000
1998-04-01,1998,April,275304000,5788100000000,7.2,6.7,5941000
1998-05-01,1998,May,275564000,5837900000000,6.9,6,6047000
1998-06-01,1998,June,275836000,5871700000000,6.8,6.9,6212000
1998-07-01,1998,July,276115000,5890000000000,6.9,6.7,6259000
1998-08-01,1998,August,276418000,5925000000000,6.8,6.8,6179000
1998-09-01,1998,September,276714000,5965600000000,6.4,6.7,6300000
1998-10-01,1998,October,277003000,5998800000000,6.2,5.8,6280000
1998-11-01,1998,November,277277000,6015400000000,6.3,6.6,6100000
1998-12-01,1998,December,277526000,6070500000000,5.8,6.8,6032000
1999-01-01,1999,January,277790000,6072900000000,6.4,6.9,5976000
1999-02-01,1999,February,277992000,6101800000000,6.2,6.8,6111000
1999-03-01,1999,March,278198000,6132900000000,5.9,6.8,5783000
1999-04-01,1999,April,278451000,6196200000000,5.2,6.2,6004000
1999-05-01,1999,May,278717000,6225700000000,4.9,6.5,5796000
1999-06-01,1999,June,279001000,6254000000000,4.8,6.3,5951000
1999-07-01,1999,July,279295000,6281500000000,4.8,5.8,6025000
1999-08-01,1999,August,279602000,6326500000000,4.7,6.5,5838000
1999-09-01,1999,September,279903000,6378800000000,4.2,6,5915000
1999-10-01,1999,October,280203000,6402100000000,4.6,6.1,5778000
1999-11-01,1999,November,280471000,6437900000000,4.8,6.2,5716000
1999-12-01,1999,December,280716000,6538700000000,4.4,5.8,5653000
2000-01-01,2000,January,280976000,6535300000000,5.4,5.8,5708000
2000-02-01,2000,February,281190000,6619700000000,4.8,6.1,5858000
2000-03-01,2000,March,281409000,6685800000000,4.5,6,5733000
2000-04-01,2000,April,281653000,6671100000000,5,6.1,5481000
2000-05-01,2000,May,281877000,6707600000000,4.9,5.8,5758000
2000-06-01,2000,June,282126000,6743900000000,4.9,5.7,5651000
2000-07-01,2000,July,282385000,6764100000000,5.2,6,5747000
2000-08-01,2000,August,282653000,6799100000000,5.2,6.3,5853000
2000-09-01,2000,September,282932000,6882900000000,4.5,5.2,5625000
2000-10-01,2000,October,283201000,6888200000000,4.6,6.1,5534000
2000-11-01,2000,November,283453000,6902400000000,4.5,6.1,5639000
2000-12-01,2000,December,283696000,6945700000000,4.2,6,5634000
2001-01-01,2001,January,283920000,6977000000000,4.8,5.8,6023000
2001-02-01,2001,February,284137000,6995800000000,4.9,6.1,6089000
2001-03-01,2001,March,284350000,6987900000000,5.3,6.6,6141000
2001-04-01,2001,April,284581000,7001200000000,5,5.9,6271000
2001-05-01,2001,May,284810000,7047100000000,4.5,6.3,6226000
2001-06-01,2001,June,285062000,7060700000000,4.5,6,6484000
2001-07-01,2001,July,285309000,7072200000000,5.6,6.8,6583000
2001-08-01,2001,August,285570000,7108900000000,6.8,6.9,7042000
2001-09-01,2001,September,285843000,7012800000000,7,7.2,7142000
2001-10-01,2001,October,286098000,7208400000000,3.4,7.3,7694000
2001-11-01,2001,November,286341000,7167900000000,4.1,7.7,8003000
2001-12-01,2001,December,286570000,7147700000000,4.5,8.2,8258000
2002-01-01,2002,January,286788000,7174300000000,6.1,8.4,8182000
2002-02-01,2002,February,286994000,7218300000000,5.8,8.3,8215000
2002-03-01,2002,March,287190000,7237200000000,5.9,8.4,8304000
2002-04-01,2002,April,287397000,7305400000000,5.8,8.9,8599000
2002-05-01,2002,May,287623000,7282700000000,6.5,9.5,8399000
2002-06-01,2002,June,287864000,7318200000000,6.4,11,8393000
2002-07-01,2002,July,288105000,7380400000000,5.5,8.9,8390000
2002-08-01,2002,August,288360000,7401500000000,5.4,9,8304000
2002-09-01,2002,September,288618000,7391000000000,5.7,9.5,8251000
2002-10-01,2002,October,288870000,7430700000000,5.7,9.6,8307000
2002-11-01,2002,November,289106000,7459700000000,5.7,9.3,8520000
2002-12-01,2002,December,289313000,7512800000000,5.5,9.6,8640000
2003-01-01,2003,January,289518000,7533100000000,5.5,9.6,8520000
2003-02-01,2003,February,289714000,7535900000000,5.6,9.5,8618000
2003-03-01,2003,March,289911000,7598400000000,5.3,9.7,8588000
2003-04-01,2003,April,290125000,7621000000000,5.3,10.2,8842000
2003-05-01,2003,May,290346000,7628100000000,5.8,9.9,8957000
2003-06-01,2003,June,290584000,7678600000000,5.6,11.5,9266000
2003-07-01,2003,July,290820000,7738200000000,6.3,10.3,9011000
2003-08-01,2003,August,291072000,7834500000000,6,10.1,8896000
2003-09-01,2003,September,291321000,7835000000000,5.2,10.2,8921000
2003-10-01,2003,October,291574000,7845700000000,5.3,10.4,8732000
2003-11-01,2003,November,291807000,7899600000000,5.4,10.3,8576000
2003-12-01,2003,December,292008000,7929200000000,5.4,10.4,8317000
2004-01-01,2004,January,292192000,7987400000000,5,10.6,8370000
2004-02-01,2004,February,292368000,8019800000000,5,10.2,8167000
2004-03-01,2004,March,292561000,8076000000000,4.9,10.2,8491000
2004-04-01,2004,April,292779000,8088600000000,5.3,9.5,8170000
2004-05-01,2004,May,292997000,8163200000000,5.3,9.9,8212000
2004-06-01,2004,June,293223000,8147200000000,5.8,11,8286000
2004-07-01,2004,July,293463000,8218900000000,5.3,8.9,8136000
2004-08-01,2004,August,293719000,8253100000000,5.2,9.2,7990000
2004-09-01,2004,September,293971000,8321100000000,4.6,9.6,7927000
2004-10-01,2004,October,294230000,8374600000000,4.5,9.5,8061000
2004-11-01,2004,November,294466000,8420600000000,4.1,9.7,7932000
2004-12-01,2004,December,294694000,8481500000000,6.9,9.5,7934000
2005-01-01,2005,January,294914000,8470200000000.001,3.7,9.4,7784000
2005-02-01,2005,February,295105000,8529200000000.001,3.4,9.2,7980000
2005-03-01,2005,March,295287000,8569500000000,3.6,9.3,7737000
2005-04-01,2005,April,295490000,8645600000000,3.1,9,7672000
2005-05-01,2005,May,295704000,8643900000000,3.5,9.1,7651000
2005-06-01,2005,June,295936000,8724799999999.999,2.9,9,7524000
2005-07-01,2005,July,296186000,8829500000000,2.2,8.8,7406000
2005-08-01,2005,August,296440000,8832400000000,2.7,9.2,7345000
2005-09-01,2005,September,296707000,8885800000000,2.7,8.4,7553000
2005-10-01,2005,October,296972000,8926600000000,3.1,8.6,7453000
2005-11-01,2005,November,297207000,8938500000000,3.5,8.5,7566000
2005-12-01,2005,December,297431000,8969600000000,3.7,8.7,7279000
2006-01-01,2006,January,297647000,9059800000000,4.2,8.6,7064000
2006-02-01,2006,February,297854000,9090100000000,4.2,9.1,7184000
2006-03-01,2006,March,298060000,9122100000000,4.2,8.7,7072000
2006-04-01,2006,April,298281000,9174800000000,4,8.4,7120000
2006-05-01,2006,May,298496000,9215100000000,3.8,8.5,6980000
2006-06-01,2006,June,298739000,9240800000000,4,7.3,7001000
2006-07-01,2006,July,298996000,9322600000000,3.4,8,7175000
2006-08-01,2006,August,299263000,9321800000000,3.6,8.4,7091000
2006-09-01,2006,September,299554000,9354700000000,3.6,8,6847000
2006-10-01,2006,October,299835000,9373200000000,3.6,7.9,6727000
2006-11-01,2006,November,300094000,9380200000000,3.9,8.3,6872000
2006-12-01,2006,December,300340000,9469000000000,3.7,7.5,6762000
2007-01-01,2007,January,300574000,9516300000000,3.7,8.3,7116000
2007-02-01,2007,February,300802000,9546800000000,4.1,8.5,6927000
2007-03-01,2007,March,301021000,9585100000000,4.4,9.1,6731000
2007-04-01,2007,April,301254000,9615700000000,4.2,8.6,6850000
2007-05-01,2007,May,301483000,9651300000000,4,8.2,6766000
2007-06-01,2007,June,301739000,9667300000000,3.8,7.7,6979000
2007-07-01,2007,July,302004000,9709600000000,3.7,8.7,7149000
2007-08-01,2007,August,302267000,9753900000000,3.4,8.8,7067000
2007-09-01,2007,September,302546000,9797900000000,3.5,8.7,7170000
2007-10-01,2007,October,302807000,9827000000000,3.4,8.4,7237000
2007-11-01,2007,November,303054000,9897800000000,3.1,8.6,7240000
2007-12-01,2007,December,303287000,9908400000000,3.6,8.4,7645000
2008-01-01,2008,January,303506000,9930000000000,3.7,9,7685000
2008-02-01,2008,February,303711000,9913400000000,4.1,8.7,7497000
2008-03-01,2008,March,303907000,9959400000000,4,8.7,7822000
2008-04-01,2008,April,304117000,9996800000000,3.4,9.4,7637000
2008-05-01,2008,May,304323000,10053800000000,7.8,7.9,8395000
2008-06-01,2008,June,304556000,10107900000000,5.5,9,8575000
2008-07-01,2008,July,304798000,10104700000000,4.4,9.7,8937000
2008-08-01,2008,August,305045000,10094700000000,3.8,9.7,9438000
2008-09-01,2008,September,305309000,10043500000000,4.7,10.2,9494000
2008-10-01,2008,October,305554000,9960300000000,5.5,10.4,10074000
2008-11-01,2008,November,305786000,9820800000000,6.4,9.8,10538000
2008-12-01,2008,December,306004000,9730700000000,6.4,10.5,11286000
2009-01-01,2009,January,306208000,9783800000000,6.2,10.7,12058000
2009-02-01,2009,February,306402000,9766000000000,5.5,11.7,12898000
2009-03-01,2009,March,306588000,9718500000000,5.9,12.3,13426000
2009-04-01,2009,April,306787000,9724800000000,6.8,13.1,13853000
2009-05-01,2009,May,306984000,9748900000000,8.2,14.2,14499000
2009-06-01,2009,June,307206000,9806900000000,6.7,17.2,14707000
2009-07-01,2009,July,307439000,9841700000000,6,16,14601000
2009-08-01,2009,August,307685000,9961000000000,4.9,16.3,14814000
2009-09-01,2009,September,307946000,9883400000000,5.9,17.8,15009000
2009-10-01,2009,October,308189000,9931900000000,5.4,18.9,15352000
2009-11-01,2009,November,308418000,9940500000000,5.9,19.8,15219000
2009-12-01,2009,December,308633000,9998900000000,5.9,20.1,15098000
2010-01-01,2010,January,308833000,10001800000000,6.1,20,15046000
2010-02-01,2010,February,309027000,10030600000000,5.8,19.9,15113000
2010-03-01,2010,March,309212000,10089100000000,5.7,20.4,15202000
2010-04-01,2010,April,309191211,10112900000000,6.4,22.1,15325000
2010-05-01,2010,May,309369053,10131000000000,7,22.3,14849000
2010-06-01,2010,June,309548502,10151400000000,6.9,25.2,14474000
2010-07-01,2010,July,309745698,10184700000000,6.8,22.3,14512000
2010-08-01,2010,August,309957775,10228200000000,6.9,21,14648000
2010-09-01,2010,September,310176466,10249000000000,6.7,20.3,14579000
2010-10-01,2010,October,310399958,10304700000000,6.6,21.2,14516000
2010-11-01,2010,November,310595764,10354700000000,6.6,21,15081000
2010-12-01,2010,December,310781705,10392100000000,7.1,21.9,14348000
2011-01-01,2011,January,310960740,10435500000000,7.4,21.5,14013000
2011-02-01,2011,February,311113376,10470100000000,7.6,21.1,13820000
2011-03-01,2011,March,311265404,10550500000000,7,21.5,13737000
2011-04-01,2011,April,311436238,10587600000000,6.9,20.9,13957000
2011-05-01,2011,May,311607080,10612000000000,6.9,21.6,13855000
2011-06-01,2011,June,311791223,10636800000000,7.2,22.4,13962000
2011-07-01,2011,July,311997049,10677500000000,7.3,22,13763000
2011-08-01,2011,August,312205367,10700600000000,7.2,22.4,13818000
2011-09-01,2011,September,312429118,10738100000000,6.8,22,13948000
2011-10-01,2011,October,312644159,10753100000000,6.8,20.6,13594000
2011-11-01,2011,November,312829523,10759500000000,7,20.8,13302000
2011-12-01,2011,December,313009712,10772200000000,7.8,20.5,13093000
2012-01-01,2012,January,313183179,10862100000000,8,20.8,12797000
2012-02-01,2012,February,313338977,10953500000000,8,19.7,12813000
2012-03-01,2012,March,313499369,10951800000000,8.5,19.2,12713000
2012-04-01,2012,April,313667127,10979700000000,8.7,19.1,12646000
2012-05-01,2012,May,313830530,10968600000000,8.8,19.9,12660000
2012-06-01,2012,June,314017594,10946300000000,9.1,20.4,12692000
2012-07-01,2012,July,314210786,10977200000000,8.2,17.5,12656000
2012-08-01,2012,August,314422341,11004100000000,8,18.4,12471000
2012-09-01,2012,September,314646749,11061500000000,8.2,18.8,12115000
2012-10-01,2012,October,314853978,11099800000000,8.8,19.9,12124000
2012-11-01,2012,November,315053863,11136800000000,9.7,18.6,12005000
2012-12-01,2012,December,315232752,11140500000000,12,17.7,12298000
2013-01-01,2013,January,315389595,11202800000000,6.3,15.8,12471000
2013-02-01,2013,February,315520143,11239600000000,5.8,17.2,11950000
2013-03-01,2013,March,315662224,11227100000000,5.9,17.6,11689000
2013-04-01,2013,April,315817855,11205400000000,6.4,17.1,11760000
2013-05-01,2013,May,315983654,11244600000000,6.7,17.1,11654000
2013-06-01,2013,June,316171042,11268800000000,6.8,17,11751000
2013-07-01,2013,July,316358778,11296700000000,6.6,16.2,11335000
2013-08-01,2013,August,316580327,11329200000000,6.7,16.5,11279000
2013-09-01,2013,September,316806125,11366900000000,6.8,16.5,11270000
2013-10-01,2013,October,317022270,11419800000000,6.3,16.3,11136000
2013-11-01,2013,November,317228026,11487600000000,6.2,17.1,10787000
2013-12-01,2013,December,317411551,11517900000000,6.4,17.3,10404000
2014-01-01,2014,January,317593923,11512500000000,7.1,15.4,10202000
2014-02-01,2014,February,317753883,11566200000000,7.3,15.9,10349000
2014-03-01,2014,March,317917203,11643000000000,7.4,15.8,10380000
2014-04-01,2014,April,318089218,11702600000000,7.4,15.7,9702000
2014-05-01,2014,May,318269505,11748400000000,7.4,14.6,9859000
2014-06-01,2014,June,318464152,11817000000000,7.4,13.8,9460000
2014-07-01,2014,July,318662368,11860500000000,7.5,13.1,9608000
2014-08-01,2014,August,318893786,11944300000000,7.2,12.9,9599000
2014-09-01,2014,September,319125296,11957400000000,7.4,13.4,9262000
2014-10-01,2014,October,319353734,12023000000000,7.2,13.6,8990000
2014-11-01,2014,November,319564209,12051400000000,7.3,13,9090000
2014-12-01,2014,December,319746157,12062000000000,7.6,12.9,8717000
2015-01-01,2015,January,319928646,12046000000000,7.7,13.2,8903000
2015-02-01,2015,February,320074511,12082400000000,7.9,12.9,8610000
2015-03-01,2015,March,320230786,12158300000000,7.4,12,8504000
2015-04-01,2015,April,320402295,12193800000000,7.6,11.5,8526000
